order_id,payment_value,payment_type,payment_installments
ORD_0000000,1989.32,credit_card,1
ORD_0000001,674.4,credit_card,2
ORD_0000002,396.89,credit_card,12
ORD_0000003,725.63,credit_card,1
ORD_0000004,27.45,boleto,3
ORD_0000005,323.22,voucher,1
ORD_0000006,2292.52,credit_card,1
ORD_0000007,328.58,credit_card,1
ORD_0000008,606.51,debit_card,10
ORD_0000009,169.1,credit_card,2
ORD_0000010,1956.5,boleto,1
ORD_0000011,128.36,credit_card,2
ORD_0000012,824.39,boleto,3
ORD_0000013,90.84,voucher,3
ORD_0000014,2075.06,credit_card,2
ORD_0000015,2905.78,boleto,1
ORD_0000016,1520.77,debit_card,6
ORD_0000017,625.53,credit_card,3
ORD_0000018,99.76,credit_card,6
ORD_0000019,428.65,credit_card,6
ORD_0000020,436.42,debit_card,1
ORD_0000021,497.93,credit_card,3
ORD_0000022,296.14,boleto,10
ORD_0000023,1910.0900000000001,credit_card,10
ORD_0000024,1146.15,boleto,2
ORD_0000025,226.92,boleto,6
ORD_0000026,92.34,credit_card,1
ORD_0000027,140.09,credit_card,1
ORD_0000028,131.44,credit_card,1
ORD_0000029,4408.21,credit_card,3
ORD_0000030,570.12,debit_card,1
ORD_0000031,482.57,credit_card,10
ORD_0000032,373.73999999999995,credit_card,10
ORD_0000033,199.47,boleto,6
ORD_0000034,415.42,debit_card,3
ORD_0000035,357.22,credit_card,2
ORD_0000036,517.35,boleto,2
ORD_0000037,634.76,credit_card,6
ORD_0000038,605.0,credit_card,3
ORD_0000039,98.45,credit_card,10
ORD_0000040,161.66,credit_card,6
ORD_0000041,1287.8899999999999,debit_card,3
ORD_0000042,338.45,credit_card,6
ORD_0000043,1791.8799999999999,boleto,10
ORD_0000044,649.9200000000001,credit_card,1
ORD_0000045,777.99,credit_card,12
ORD_0000046,2854.65,credit_card,6
ORD_0000047,775.55,credit_card,6
ORD_0000048,84.66,credit_card,10
ORD_0000049,387.24,credit_card,1
ORD_0000050,143.94,credit_card,2
ORD_0000051,2060.76,credit_card,1
ORD_0000052,150.45,debit_card,12
ORD_0000053,99.31,credit_card,12
ORD_0000054,1741.2,credit_card,3
ORD_0000055,618.5600000000001,credit_card,12
ORD_0000056,643.02,boleto,10
ORD_0000057,2799.57,debit_card,10
ORD_0000058,4406.81,credit_card,12
ORD_0000059,143.85,credit_card,3
ORD_0000060,2247.41,credit_card,3
ORD_0000061,21.23,boleto,1
ORD_0000062,949.44,debit_card,12
ORD_0000063,142.28,credit_card,6
ORD_0000064,248.76,credit_card,1
ORD_0000065,69.8,debit_card,3
ORD_0000066,2934.45,credit_card,2
ORD_0000067,141.74,debit_card,12
ORD_0000068,285.19,debit_card,6
ORD_0000069,2007.88,credit_card,1
ORD_0000070,1131.6699999999998,credit_card,6
ORD_0000071,253.93,credit_card,10
ORD_0000072,2433.36,credit_card,1
ORD_0000073,284.51,voucher,12
ORD_0000074,168.23,debit_card,3
ORD_0000075,131.99,credit_card,6
ORD_0000076,2876.82,boleto,3
ORD_0000077,975.9,credit_card,12
ORD_0000078,227.27,credit_card,1
ORD_0000079,2608.5899999999997,credit_card,1
ORD_0000080,946.14,voucher,12
ORD_0000081,94.49,credit_card,1
ORD_0000082,195.07,credit_card,3
ORD_0000083,712.73,boleto,1
ORD_0000084,583.97,boleto,12
ORD_0000085,3285.54,voucher,12
ORD_0000086,138.4,credit_card,10
ORD_0000087,225.82,credit_card,3
ORD_0000088,119.44,boleto,2
ORD_0000089,364.8,boleto,1
ORD_0000090,322.93,credit_card,10
ORD_0000091,1471.6999999999998,credit_card,2
ORD_0000092,27.51,credit_card,3
ORD_0000093,2686.45,credit_card,1
ORD_0000094,185.94,credit_card,1
ORD_0000095,2395.18,boleto,3
ORD_0000096,2118.42,credit_card,1
ORD_0000097,2186.53,credit_card,1
ORD_0000098,52.12,credit_card,1
ORD_0000099,1436.04,voucher,1
ORD_0000100,535.58,credit_card,1
ORD_0000101,116.28,credit_card,1
ORD_0000102,29.73,boleto,1
ORD_0000103,1105.96,credit_card,1
ORD_0000104,273.95,boleto,1
ORD_0000105,82.59,boleto,10
ORD_0000106,170.35,boleto,1
ORD_0000107,1521.19,credit_card,6
ORD_0000108,342.71999999999997,credit_card,10
ORD_0000109,1080.35,credit_card,1
ORD_0000110,657.45,credit_card,12
ORD_0000111,108.79,credit_card,1
ORD_0000112,267.31,debit_card,10
ORD_0000113,189.32,credit_card,6
ORD_0000114,573.15,credit_card,1
ORD_0000115,609.73,credit_card,1
ORD_0000116,741.87,credit_card,1
ORD_0000117,1734.3400000000001,credit_card,3
ORD_0000118,190.24,credit_card,6
ORD_0000119,4135.47,credit_card,2
ORD_0000120,903.24,credit_card,3
ORD_0000121,1183.79,boleto,6
ORD_0000122,1271.4199999999998,credit_card,1
ORD_0000123,156.56,voucher,12
ORD_0000124,159.1,boleto,2
ORD_0000125,391.43,boleto,2
ORD_0000126,978.53,credit_card,6
ORD_0000127,1402.92,credit_card,1
ORD_0000128,1158.79,credit_card,3
ORD_0000129,46.35,credit_card,1
ORD_0000130,2015.33,credit_card,1
ORD_0000131,306.75,credit_card,1
ORD_0000132,67.53,credit_card,1
ORD_0000133,343.31,credit_card,1
ORD_0000134,2927.79,credit_card,3
ORD_0000135,196.83,boleto,2
ORD_0000136,2255.8799999999997,credit_card,1
ORD_0000137,1109.93,debit_card,10
ORD_0000138,234.5,credit_card,3
ORD_0000139,1631.6799999999998,credit_card,1
ORD_0000140,205.22,voucher,3
ORD_0000141,401.86,credit_card,10
ORD_0000142,352.43,boleto,1
ORD_0000143,1402.66,credit_card,1
ORD_0000144,16.63,debit_card,6
ORD_0000145,772.41,boleto,1
ORD_0000146,2267.14,voucher,12
ORD_0000147,200.83,boleto,2
ORD_0000148,472.77,credit_card,1
ORD_0000149,138.1,boleto,3
ORD_0000150,385.85,boleto,1
ORD_0000151,2128.06,credit_card,1
ORD_0000152,364.83,credit_card,1
ORD_0000153,2112.98,boleto,1
ORD_0000154,1993.18,credit_card,1
ORD_0000155,476.07,debit_card,6
ORD_0000156,1537.53,debit_card,6
ORD_0000157,487.77,boleto,1
ORD_0000158,2458.81,credit_card,6
ORD_0000159,760.8,credit_card,3
ORD_0000160,2920.83,credit_card,12
ORD_0000161,339.9,debit_card,1
ORD_0000162,1055.93,credit_card,1
ORD_0000163,228.71,boleto,1
ORD_0000164,190.09,credit_card,1
ORD_0000165,541.99,credit_card,1
ORD_0000166,142.52,debit_card,10
ORD_0000167,2717.77,credit_card,1
ORD_0000168,2631.65,credit_card,1
ORD_0000169,491.62,boleto,1
ORD_0000170,1455.69,debit_card,3
ORD_0000171,912.15,credit_card,3
ORD_0000172,549.17,credit_card,6
ORD_0000173,435.22,credit_card,1
ORD_0000174,623.42,credit_card,12
ORD_0000175,1715.56,credit_card,1
ORD_0000176,450.1,voucher,6
ORD_0000177,102.6,boleto,12
ORD_0000178,1224.57,credit_card,1
ORD_0000179,151.37,voucher,1
ORD_0000180,250.73,credit_card,1
ORD_0000181,2456.86,credit_card,1
ORD_0000182,1991.08,boleto,3
ORD_0000183,400.94,credit_card,6
