product_id,product_category_name,product_weight_g,product_length_cm,product_width_cm,product_height_cm
PROD_00000,furniture,2254,36,8,25
PROD_00001,health_wellness,1437,67,44,34
PROD_00002,electronics,4206,53,40,16
PROD_00003,electronics,2595,74,25,44
PROD_00004,sports_leisure,3074,55,37,33
PROD_00005,toys_games,2542,63,30,18
PROD_00006,electronics,4573,48,44,36
PROD_00007,clothing_accessories,460,16,43,48
PROD_00008,clothing_accessories,3164,63,15,46
PROD_00009,home_decor,4837,52,25,36
PROD_00010,clothing_accessories,672,29,52,14
PROD_00011,home_decor,2055,34,26,10
PROD_00012,toys_games,3144,52,53,11
PROD_00013,furniture,1684,36,41,2
PROD_00014,electronics,2333,34,11,35
PROD_00015,furniture,3392,45,46,47
PROD_00016,sports_leisure,3346,75,17,38
PROD_00017,baby_products,1914,18,24,26
PROD_00018,clothing_accessories,4141,62,19,23
PROD_00019,toys_games,1989,30,42,11
PROD_00020,toys_games,1999,59,38,27
PROD_00021,clothing_accessories,2755,25,40,20
PROD_00022,garden_tools,2429,75,57,41
PROD_00023,sports_leisure,3818,35,50,46
PROD_00024,books,1156,53,29,42
PROD_00025,electronics,2229,38,33,5
PROD_00026,clothing_accessories,1606,55,51,41
PROD_00027,beauty_perfumery,1730,58,32,6
PROD_00028,clothing_accessories,1091,24,18,30
PROD_00029,sports_leisure,4690,26,8,39
PROD_00030,home_decor,1293,18,42,6
PROD_00031,furniture,4068,41,11,2
PROD_00032,sports_leisure,802,75,17,29
PROD_00033,electronics,1130,68,21,20
PROD_00034,furniture,2581,41,33,37
PROD_00035,sports_leisure,662,52,21,2
PROD_00036,home_decor,466,68,40,30
PROD_00037,electronics,893,39,23,37
PROD_00038,clothing_accessories,3203,20,30,33
PROD_00039,clothing_accessories,4831,35,56,15
PROD_00040,baby_products,1086,11,49,33
PROD_00041,sports_leisure,1057,43,13,47
PROD_00042,electronics,3695,50,6,10
PROD_00043,electronics,954,40,24,20
PROD_00044,electronics,1669,72,27,12
PROD_00045,beauty_perfumery,2356,64,22,49
PROD_00046,clothing_accessories,4009,70,30,5
PROD_00047,sports_leisure,4203,45,56,42
PROD_00048,home_decor,4932,49,29,26
PROD_00049,kitchen_utilities,2322,32,21,18
PROD_00050,home_decor,4276,35,43,48
PROD_00051,sports_leisure,337,27,53,9
PROD_00052,toys_games,3388,43,14,46
PROD_00053,sports_leisure,4382,37,29,2
PROD_00054,kitchen_utilities,4825,58,50,3
PROD_00055,books,1832,73,32,11
PROD_00056,home_decor,3161,72,30,28
PROD_00057,sports_leisure,914,71,16,28
PROD_00058,stationery,4809,51,48,14
PROD_00059,books,1286,33,53,12
PROD_00060,garden_tools,2325,44,23,15
PROD_00061,electronics,1084,64,27,33
PROD_00062,sports_leisure,897,58,18,17
PROD_00063,garden_tools,4262,68,21,30
PROD_00064,home_decor,643,31,19,39
PROD_00065,stationery,619,70,25,35
PROD_00066,electronics,2646,39,42,27
PROD_00067,garden_tools,1554,78,34,6
PROD_00068,sports_leisure,1158,69,23,20
PROD_00069,electronics,2336,15,36,40
PROD_00070,automotive,1212,20,33,29
PROD_00071,clothing_accessories,3506,33,26,29
PROD_00072,electronics,1046,60,24,18
PROD_00073,electronics,4130,28,42,38
PROD_00074,furniture,235,59,42,45
PROD_00075,stationery,2693,12,40,20
PROD_00076,electronics,892,12,5,28
PROD_00077,sports_leisure,1236,40,23,13
PROD_00078,clothing_accessories,1462,56,47,4
PROD_00079,toys_games,654,17,30,5
PROD_00080,electronics,2672,26,11,48
PROD_00081,clothing_accessories,3503,54,38,48
PROD_00082,clothing_accessories,2354,69,40,12
PROD_00083,beauty_perfumery,1466,30,10,35
PROD_00084,automotive,1048,79,41,19
PROD_00085,beauty_perfumery,203,30,26,36
PROD_00086,electronics,1146,67,57,19
PROD_00087,beauty_perfumery,4126,64,13,47
PROD_00088,kitchen_utilities,2714,37,47,7
PROD_00089,electronics,3431,55,33,35
PROD_00090,electronics,1063,53,54,34
PROD_00091,clothing_accessories,3371,34,56,9
PROD_00092,toys_games,937,58,21,43
PROD_00093,furniture,2558,55,17,21
PROD_00094,beauty_perfumery,981,72,59,21
