review_id,order_id,review_score
REV_0000000,ORD_0080659,5
REV_0000001,ORD_0056729,5
REV_0000002,ORD_0078839,5
REV_0000003,ORD_0000252,5
REV_0000004,ORD_0019024,2
REV_0000005,ORD_0079879,4
REV_0000006,ORD_0019020,5
REV_0000007,ORD_0050368,3
REV_0000008,ORD_0037332,5
REV_0000009,ORD_0091667,4
REV_0000010,ORD_0053627,5
REV_0000011,ORD_0012265,5
REV_0000012,ORD_0034507,5
REV_0000013,ORD_0079049,5
REV_0000014,ORD_0006113,3
REV_0000015,ORD_0096278,4
REV_0000016,ORD_0053539,3
REV_0000017,ORD_0095164,5
REV_0000018,ORD_0066741,4
REV_0000019,ORD_0026166,1
REV_0000020,ORD_0083433,5
REV_0000021,ORD_0013139,4
REV_0000022,ORD_0017745,3
REV_0000023,ORD_0054622,2
REV_0000024,ORD_0024940,5
REV_0000025,ORD_0054203,4
REV_0000026,ORD_0069284,2
REV_0000027,ORD_0067944,5
REV_0000028,ORD_0042936,4
REV_0000029,ORD_0038444,1
REV_0000030,ORD_0092480,3
REV_0000031,ORD_0084193,5
REV_0000032,ORD_0039676,4
REV_0000033,ORD_0069351,4
REV_0000034,ORD_0029544,5
REV_0000035,ORD_0004598,5
REV_0000036,ORD_0041731,5
REV_0000037,ORD_0042934,4
REV_0000038,ORD_0051282,5
REV_0000039,ORD_0056144,3
REV_0000040,ORD_0053749,4
REV_0000041,ORD_0083922,2
REV_0000042,ORD_0044159,5
REV_0000043,ORD_0037142,4
REV_0000044,ORD_0084307,5
REV_0000045,ORD_0019452,5
REV_0000046,ORD_0012288,5
REV_0000047,ORD_0044090,4
REV_0000048,ORD_0046792,5
REV_0000049,ORD_0045809,5
REV_0000050,ORD_0069681,4
REV_0000051,ORD_0080929,2
REV_0000052,ORD_0011453,5
REV_0000053,ORD_0040890,4
REV_0000054,ORD_0086233,4
REV_0000055,ORD_0079412,5
REV_0000056,ORD_0047348,4
REV_0000057,ORD_0071633,5
REV_0000058,ORD_0046267,5
REV_0000059,ORD_0029958,4
REV_0000060,ORD_0094470,5
REV_0000061,ORD_0041469,5
REV_0000062,ORD_0042575,5
REV_0000063,ORD_0045875,5
REV_0000064,ORD_0064798,5
REV_0000065,ORD_0073050,5
REV_0000066,ORD_0082462,4
REV_0000067,ORD_0007947,5
REV_0000068,ORD_0030690,4
REV_0000069,ORD_0079457,5
REV_0000070,ORD_0039017,4
REV_0000071,ORD_0088165,4
REV_0000072,ORD_0081006,4
REV_0000073,ORD_0082374,5
REV_0000074,ORD_0005240,5
REV_0000075,ORD_0093349,5
REV_0000076,ORD_0067247,2
REV_0000077,ORD_0006074,4
REV_0000078,ORD_0024835,4
REV_0000079,ORD_0060510,5
REV_0000080,ORD_0036239,5
REV_0000081,ORD_0035058,2
REV_0000082,ORD_0014982,5
REV_0000083,ORD_0098792,4
REV_0000084,ORD_0080599,5
REV_0000085,ORD_0006324,4
REV_0000086,ORD_0016876,2
REV_0000087,ORD_0087138,5
REV_0000088,ORD_0033909,5
REV_0000089,ORD_0085855,5
REV_0000090,ORD_0085049,2
REV_0000091,ORD_0022873,2
REV_0000092,ORD_0049244,5
REV_0000093,ORD_0028640,5
REV_0000094,ORD_0003439,5
REV_0000095,ORD_0011741,5
REV_0000096,ORD_0008444,4
REV_0000097,ORD_0075782,5
REV_0000098,ORD_0081038,5
REV_0000099,ORD_0093852,5
REV_0000100,ORD_0040321,4
REV_0000101,ORD_0038120,5
REV_0000102,ORD_0045773,5
REV_0000103,ORD_0029282,3
REV_0000104,ORD_0086348,5
REV_0000105,ORD_0008665,5
REV_0000106,ORD_0030386,5
REV_0000107,ORD_0011342,3
REV_0000108,ORD_0086211,3
REV_0000109,ORD_0027144,5
REV_0000110,ORD_0090305,4
REV_0000111,ORD_0025426,5
REV_0000112,ORD_0006737,5
REV_0000113,ORD_0074186,1
REV_0000114,ORD_0045505,5
REV_0000115,ORD_0053561,5
REV_0000116,ORD_0012894,3
REV_0000117,ORD_0040677,5
REV_0000118,ORD_0062366,5
REV_0000119,ORD_0034254,4
REV_0000120,ORD_0079562,5
REV_0000121,ORD_0018281,3
REV_0000122,ORD_0041265,2
REV_0000123,ORD_0070427,4
REV_0000124,ORD_0034137,5
REV_0000125,ORD_0061448,4
REV_0000126,ORD_0019434,5
REV_0000127,ORD_0099602,4
REV_0000128,ORD_0049900,4
REV_0000129,ORD_0078327,5
REV_0000130,ORD_0031848,5
REV_0000131,ORD_0075105,5
REV_0000132,ORD_0062235,5
REV_0000133,ORD_0009650,4
REV_0000134,ORD_0057570,5
REV_0000135,ORD_0092755,3
REV_0000136,ORD_0075260,5
REV_0000137,ORD_0006176,4
REV_0000138,ORD_0085188,5
REV_0000139,ORD_0062074,2
REV_0000140,ORD_0019273,5
REV_0000141,ORD_0082476,5
REV_0000142,ORD_0083367,1
REV_0000143,ORD_0005017,4
REV_0000144,ORD_0033914,5
REV_0000145,ORD_0013156,4
REV_0000146,ORD_0022748,5
REV_0000147,ORD_0020451,1
REV_0000148,ORD_0051208,5
REV_0000149,ORD_0002726,3
REV_0000150,ORD_0071632,5
REV_0000151,ORD_0028210,3
REV_0000152,ORD_0052440,3
REV_0000153,ORD_0078175,5
REV_0000154,ORD_0092951,5
REV_0000155,ORD_0061327,5
REV_0000156,ORD_0054492,3
REV_0000157,ORD_0089738,4
REV_0000158,ORD_0001283,5
REV_0000159,ORD_0046316,5
REV_0000160,ORD_0002417,5
REV_0000161,ORD_0065998,5
REV_0000162,ORD_0006721,4
REV_0000163,ORD_0095831,3
REV_0000164,ORD_0066543,3
REV_0000165,ORD_0068875,5
REV_0000166,ORD_0037293,5
REV_0000167,ORD_0016599,5
REV_0000168,ORD_0084229,5
REV_0000169,ORD_0041972,1
REV_0000170,ORD_0035529,5
REV_0000171,ORD_0005720,5
REV_0000172,ORD_0034219,5
REV_0000173,ORD_0051834,4
REV_0000174,ORD_0060591,4
REV_0000175,ORD_0086535,5
REV_0000176,ORD_0082514,4
REV_0000177,ORD_0081059,4
REV_0000178,ORD_0041775,5
REV_0000179,ORD_0060582,3
REV_0000180,ORD_0013438,2
REV_0000181,ORD_0099955,2
REV_0000182,ORD_0095714,3
REV_0000183,ORD_0070283,4
REV_0000184,ORD_0086686,5
REV_0000185,ORD_0082181,5
REV_0000186,ORD_0080950,4
REV_0000187,ORD_0058059,5
REV_0000188,ORD_0057441,4
REV_0000189,ORD_0020208,5
REV_0000190,ORD_0085908,5
REV_0000191,ORD_0020467,1
REV_0000192,ORD_0053906,4
REV_0000193,ORD_0055489,5
REV_0000194,ORD_0051429,4
REV_0000195,ORD_0061891,5
REV_0000196,ORD_0091203,4
REV_0000197,ORD_0031468,4
REV_0000198,ORD_0056632,1
REV_0000199,ORD_0058927,4
REV_0000200,ORD_0070630,5
REV_0000201,ORD_0040095,5
REV_0000202,ORD_0060080,5
REV_0000203,ORD_0007211,5
REV_0000204,ORD_0098376,3
REV_0000205,ORD_0086366,4
REV_0000206,ORD_0060566,2
REV_0000207,ORD_0087387,4
REV_0000208,ORD_0015577,5
REV_0000209,ORD_0056033,4
REV_0000210,ORD_0020722,3
REV_0000211,ORD_0021386,5
REV_0000212,ORD_0004178,4
REV_0000213,ORD_0098004,2
REV_0000214,ORD_0044491,4
REV_0000215,ORD_0048037,4
REV_0000216,ORD_0065031,5
REV_0000217,ORD_0008896,5
REV_0000218,ORD_0087640,4
REV_0000219,ORD_0092327,5
REV_0000220,ORD_0005829,1
REV_0000221,ORD_0033649,5
REV_0000222,ORD_0015413,3
REV_0000223,ORD_0098496,5
REV_0000224,ORD_0095119,4
REV_0000225,ORD_0044787,5
REV_0000226,ORD_0039171,5
REV_0000227,ORD_0007405,5
REV_0000228,ORD_0032910,4
REV_0000229,ORD_0077072,5
REV_0000230,ORD_0052386,3
REV_0000231,ORD_0003448,1
REV_0000232,ORD_0089601,5
REV_0000233,ORD_0067385,3
REV_0000234,ORD_0061636,3
REV_0000235,ORD_0071492,5
REV_0000236,ORD_0054657,3
REV_0000237,ORD_0012263,3
REV_0000238,ORD_0043899,3
REV_0000239,ORD_0062535,2
REV_0000240,ORD_0079787,5
REV_0000241,ORD_0038433,5
REV_0000242,ORD_0061098,5
REV_0000243,ORD_0038934,5
REV_0000244,ORD_0031612,5
REV_0000245,ORD_0036526,4
REV_0000246,ORD_0082611,4
REV_0000247,ORD_0089527,5
REV_0000248,ORD_0088296,5
REV_0000249,ORD_0037661,5
REV_0000250,ORD_0062967,4
REV_0000251,ORD_0015126,2
REV_0000252,ORD_0073717,4
REV_0000253,ORD_0015660,5
REV_0000254,ORD_0063146,5
REV_0000255,ORD_0078149,3
REV_0000256,ORD_0093090,5
REV_0000257,ORD_0013737,4
REV_0000258,ORD_0007677,4
REV_0000259,ORD_0098988,3
REV_0000260,ORD_0020060,4
REV_0000261,ORD_0061228,4
REV_0000262,ORD_0025111,5
REV_0000263,ORD_0032933,1
REV_0000264,ORD_0026356,5
REV_0000265,ORD_0064570,1
REV_0000266,ORD_0034103,4
REV_0000267,ORD_0048687,4
REV_0000268,ORD_0060325,2
REV_0000269,ORD_0083808,4
REV_0000270,ORD_0066794,4
REV_0000271,ORD_0042912,2
REV_0000272,ORD_0059617,4
REV_0000273,ORD_0048475,5
REV_0000274,ORD_0072778,2
REV_0000275,ORD_0097087,3
REV_0000276,ORD_0072355,4
REV_0000277,ORD_0061279,2
REV_0000278,ORD_0089470,1
REV_0000279,ORD_0040286,2
REV_0000280,ORD_0082752,5
REV_0000281,ORD_0047417,2
REV_0000282,ORD_0035619,5
REV_0000283,ORD_0031767,5
REV_0000284,ORD_0040210,5
REV_0000285,ORD_0008356,4
REV_0000286,ORD_0027706,5
REV_0000287,ORD_0022168,2
REV_0000288,ORD_0020602,5
REV_0000289,ORD_0009334,3
REV_0000290,ORD_0061480,4
REV_0000291,ORD_0031981,4
REV_0000292,ORD_0037367,5
REV_0000293,ORD_0036102,3
REV_0000294,ORD_0040025,5
REV_0000295,ORD_0054253,5
REV_0000296,ORD_0051759,3
REV_0000297,ORD_0078375,3
REV_0000298,ORD_0045243,2
REV_0000299,ORD_0047735,1
REV_0000300,ORD_0032597,4
REV_0000301,ORD_0074706,5
REV_0000302,ORD_0039580,4
REV_0000303,ORD_0067460,5
REV_0000304,ORD_0096273,3
REV_0000305,ORD_0033700,4
REV_0000306,ORD_0049710,4
REV_0000307,ORD_0056060,1
REV_0000308,ORD_0076099,3
REV_0000309,ORD_0029874,5
REV_0000310,ORD_0067452,5
REV_0000311,ORD_0053270,5
REV_0000312,ORD_0024594,4
REV_0000313,ORD_0046781,4
REV_0000314,ORD_0062331,5
REV_0000315,ORD_0091727,5
REV_0000316,ORD_0009230,4
REV_0000317,ORD_0057849,5
REV_0000318,ORD_0033448,5
REV_0000319,ORD_0064111,5
REV_0000320,ORD_0005520,3
REV_0000321,ORD_0010938,5
REV_0000322,ORD_0072550,4
REV_0000323,ORD_0087200,5
REV_0000324,ORD_0059362,4
REV_0000325,ORD_0006387,5
REV_0000326,ORD_0049971,4
REV_0000327,ORD_0041440,4
REV_0000328,ORD_0070765,3
REV_0000329,ORD_0020699,4
REV_0000330,ORD_0021361,5
REV_0000331,ORD_0059693,1
REV_0000332,ORD_0041045,2
REV_0000333,ORD_0074568,3
REV_0000334,ORD_0012487,3
REV_0000335,ORD_0071930,4
REV_0000336,ORD_0063354,5
REV_0000337,ORD_0092251,5
REV_0000338,ORD_0049665,4
REV_0000339,ORD_0026659,5
REV_0000340,ORD_0007927,5
REV_0000341,ORD_0021667,5
REV_0000342,ORD_0033387,4
REV_0000343,ORD_0091788,4
REV_0000344,ORD_0003119,1
REV_0000345,ORD_0070505,5
REV_0000346,ORD_0066349,5
REV_0000347,ORD_0063235,3
REV_0000348,ORD_0016573,2
REV_0000349,ORD_0003372,5
REV_0000350,ORD_0085516,5
REV_0000351,ORD_0073211,2
REV_0000352,ORD_0046596,5
REV_0000353,ORD_0092807,5
REV_0000354,ORD_0026636,4
REV_0000355,ORD_0042663,5
REV_0000356,ORD_0055496,4
REV_0000357,ORD_0034234,4
REV_0000358,ORD_0088758,5
REV_0000359,ORD_0058770,5
REV_0000360,ORD_0054107,5
REV_0000361,ORD_0020533,4
REV_0000362,ORD_0077355,4
REV_0000363,ORD_0035022,4
REV_0000364,ORD_0064182,5
REV_0000365,ORD_0070448,5
REV_0000366,ORD_0014107,5
REV_0000367,ORD_0011451,1
