cohort_month,0,1,2,3,4,5,6,7,8,9,10,11,12
2022-01,100.0,14.8,20.3,20.3,22.2,21.4,25.1,26.2,25.9,27.4,27.5,30.3,31.4
2022-02,100.0,19.5,21.0,22.8,21.9,25.7,24.1,26.1,26.9,27.8,29.2,29.8,28.8
2022-03,100.0,20.5,21.3,23.8,26.0,27.1,24.6,26.0,26.8,30.7,30.2,29.2,30.8
2022-04,100.0,22.6,22.6,24.3,25.4,29.2,27.2,29.1,27.9,31.3,31.2,32.0,32.6
2022-05,100.0,22.8,25.0,28.1,26.3,29.5,29.4,30.2,29.0,28.9,32.9,35.4,31.4
2022-06,100.0,26.6,23.2,24.5,27.3,28.5,30.2,30.0,28.9,34.3,33.2,36.3,37.5
2022-07,100.0,25.4,26.0,31.3,29.1,28.5,28.3,29.8,34.3,34.4,38.2,33.0,37.9
2022-08,100.0,26.8,29.6,28.8,30.2,26.0,30.0,38.0,36.0,33.0,33.6,38.6,35.0
2022-09,100.0,27.2,32.7,32.5,31.4,31.4,33.0,29.8,36.9,37.5,32.5,40.4,40.9
2022-10,100.0,28.8,30.6,31.5,25.2,31.8,36.5,31.8,32.6,31.5,38.3,37.1,40.4
2022-11,100.0,37.0,29.8,27.7,33.2,32.3,34.0,40.0,34.5,33.6,38.7,41.7,40.9
2022-12,100.0,26.3,29.2,34.5,37.4,35.1,33.9,41.5,31.0,38.0,35.1,35.7,35.1
2023-01,100.0,23.9,28.2,40.2,35.0,34.2,35.0,38.5,45.3,41.9,41.9,40.2,
2023-02,100.0,29.4,23.5,32.9,38.8,44.7,36.5,31.8,29.4,42.4,36.5,,
2023-03,100.0,36.4,43.6,30.9,41.8,38.2,43.6,41.8,45.5,49.1,,,
2023-04,100.0,37.2,32.6,30.2,39.5,44.2,23.3,32.6,32.6,,,,
2023-05,100.0,27.6,27.6,44.8,41.4,48.3,37.9,31.0,,,,,
2023-06,100.0,36.8,36.8,31.6,31.6,68.4,52.6,,,,,,
2023-07,100.0,50.0,37.5,50.0,37.5,43.8,,,,,,,
2023-08,100.0,12.5,75.0,62.5,37.5,,,,,,,,
2023-09,100.0,80.0,40.0,40.0,,,,,,,,,
2023-10,100.0,66.7,,,,,,,,,,,
2023-11,100.0,50.0,,,,,,,,,,,
