customer_id,total_orders,total_revenue,total_freight,total_profit,avg_order_value,first_order,last_order,recency_days,customer_lifetime_days,customer_segment
CUST_000000,8,6036.929999999999,706.3000000000001,5330.63,377.30812499999996,2022-02-19 06:00:00,2023-12-13 09:00:00,17,662,Loyal
CUST_000001,6,5874.47,777.49,5096.9800000000005,534.0427272727273,2022-04-30 05:00:00,2023-10-01 08:00:00,90,519,Loyal
CUST_000002,7,9964.48,1546.61,8417.869999999999,830.3733333333333,2022-09-01 05:00:00,2023-10-29 21:00:00,62,423,Loyal
CUST_000003,12,13026.74,1965.1499999999999,11061.59,814.17125,2022-08-23 09:00:00,2023-11-30 19:00:00,30,464,Loyal
CUST_000004,8,2890.27,393.69,2496.58,289.027,2022-06-09 11:00:00,2023-11-02 08:00:00,58,510,Loyal
CUST_000005,9,8420.68,1252.5800000000002,7168.1,495.33411764705886,2022-01-12 18:00:00,2023-12-09 06:00:00,21,695,Loyal
CUST_000006,10,10648.26,1370.56,9277.7,591.57,2022-01-02 05:00:00,2023-12-20 13:00:00,10,717,Loyal
CUST_000007,4,4395.46,512.12,3883.34,549.4325,2022-01-22 18:00:00,2023-07-23 09:00:00,160,546,Active
CUST_000008,8,3144.63,370.35,2774.28,314.463,2022-10-25 17:00:00,2023-11-08 11:00:00,52,378,Loyal
CUST_000009,5,3281.26,521.05,2760.21,546.8766666666667,2022-11-08 22:00:00,2023-04-25 07:00:00,249,167,Loyal
CUST_000010,12,8091.04,690.3,7400.74,505.69,2022-01-13 19:00:00,2023-10-01 04:00:00,90,625,Loyal
CUST_000011,11,7850.09,1124.34,6725.75,523.3393333333333,2022-03-22 22:00:00,2023-10-06 23:00:00,85,563,Loyal
CUST_000012,15,8708.51,1148.15,7560.36,458.34263157894736,2022-07-02 04:00:00,2023-12-21 10:00:00,9,537,Loyal
CUST_000013,6,8315.67,987.77,7327.9,461.9816666666667,2022-08-15 01:00:00,2023-10-18 10:00:00,73,429,Loyal
CUST_000014,7,5152.74,512.67,4640.07,515.274,2022-11-10 09:00:00,2023-08-15 02:00:00,137,277,Loyal
CUST_000015,9,10061.9,1192.83,8869.07,628.86875,2022-05-29 22:00:00,2023-10-17 15:00:00,74,505,Loyal
CUST_000016,7,8224.82,989.95,7234.870000000001,747.710909090909,2022-03-03 23:00:00,2023-12-06 09:00:00,24,642,Loyal
CUST_000017,11,6870.88,818.64,6052.24,381.71555555555557,2022-01-14 02:00:00,2023-11-11 01:00:00,49,665,Loyal
CUST_000018,5,3713.45,666.65,3046.7999999999997,618.9083333333333,2023-01-12 11:00:00,2023-09-28 18:00:00,93,259,Loyal
CUST_000019,11,7407.46,835.51,6571.950000000001,493.8306666666667,2022-04-30 12:00:00,2023-11-28 09:00:00,32,576,Loyal
CUST_000020,4,7593.26,1122.33,6470.93,1265.5433333333333,2023-01-14 21:00:00,2023-08-18 06:00:00,134,215,Active
CUST_000021,5,5704.889999999999,686.67,5018.22,518.6263636363636,2022-06-26 17:00:00,2023-06-18 04:00:00,195,356,Loyal
CUST_000022,8,4951.9,675.02,4276.88,412.6583333333333,2022-04-05 21:00:00,2023-10-31 03:00:00,60,573,Loyal
CUST_000023,9,4713.54,631.28,4082.2599999999998,362.58,2022-05-09 02:00:00,2023-11-20 02:00:00,40,560,Loyal
CUST_000024,6,5702.7699999999995,758.35,4944.42,518.4336363636363,2022-03-27 09:00:00,2023-11-17 10:00:00,43,600,Loyal
CUST_000025,8,9390.47,1201.69,8188.78,626.0313333333332,2022-02-24 00:00:00,2023-09-29 22:00:00,92,582,Loyal
CUST_000026,5,5135.219999999999,662.74,4472.48,570.5799999999999,2022-03-02 08:00:00,2023-12-16 13:00:00,14,654,Loyal
CUST_000027,4,3661.38,379.04999999999995,3282.33,523.0542857142857,2022-01-02 22:00:00,2023-07-08 11:00:00,175,551,Active
CUST_000028,3,2305.77,295.64,2010.1299999999999,768.59,2023-03-11 20:00:00,2023-08-03 03:00:00,149,144,Active
CUST_000029,5,3720.94,561.88,3159.06,286.22615384615386,2022-03-04 18:00:00,2023-03-03 05:00:00,302,363,Loyal
CUST_000030,8,8499.09,1346.1799999999998,7152.91,849.909,2022-05-09 12:00:00,2023-08-26 19:00:00,126,474,Loyal
CUST_000031,6,801.26,131.12,670.14,133.54333333333332,2022-01-06 06:00:00,2023-07-07 05:00:00,176,546,Loyal
CUST_000032,2,1568.71,229.46,1339.25,784.355,2022-07-03 15:00:00,2022-07-26 21:00:00,522,23,Active
CUST_000033,10,4770.76,750.61,4020.15,366.9815384615385,2022-02-08 02:00:00,2023-11-04 12:00:00,56,634,Loyal
CUST_000034,10,10181.65,1132.71,9048.94,565.6472222222222,2022-02-15 21:00:00,2023-11-24 15:00:00,36,646,Loyal
CUST_000035,11,8416.28,1010.9300000000001,7405.35,420.814,2022-05-17 00:00:00,2023-12-16 02:00:00,14,578,Loyal
CUST_000036,7,7978.24,1052.84,6925.4,664.8533333333334,2022-03-27 16:00:00,2023-08-11 20:00:00,141,502,Loyal
CUST_000037,9,9430.02,1324.38,8105.639999999999,725.3861538461539,2022-10-08 10:00:00,2023-11-15 18:00:00,45,403,Loyal
CUST_000038,16,15604.29,1813.52,13790.77,624.1716,2022-08-19 02:00:00,2023-11-07 11:00:00,53,445,Loyal
