product_id,product_category_name,total_revenue,total_profit,total_orders,profit_margin_pct
PROD_00000,furniture,61956.4,54575.62,42,88.09
PROD_00001,health_wellness,9099.9,7823.9400000000005,47,85.98
PROD_00002,electronics,71046.87,62409.23,48,87.84
PROD_00003,electronics,52629.44,46281.86,42,87.94
PROD_00004,sports_leisure,21241.33,18603.21,47,87.58
PROD_00005,toys_games,9724.63,8461.87,47,87.01
PROD_00006,electronics,58487.79,51850.27,47,88.65
PROD_00007,clothing_accessories,7308.54,6288.13,36,86.04
PROD_00008,clothing_accessories,9340.03,8184.54,43,87.63
PROD_00009,home_decor,16496.46,14479.52,53,87.77
PROD_00010,clothing_accessories,9336.77,8021.03,49,85.91
PROD_00011,home_decor,14554.37,12736.63,48,87.51
PROD_00012,toys_games,8553.86,7423.56,45,86.79
PROD_00013,furniture,72719.21,64028.99,48,88.05
PROD_00014,electronics,68763.38,59305.82,50,86.25
PROD_00015,furniture,72791.03,63080.18,47,86.66
PROD_00016,sports_leisure,23387.86,20548.54,52,87.86
PROD_00017,baby_products,5892.7,5081.93,41,86.24
PROD_00018,clothing_accessories,10619.56,9310.24,47,87.67
PROD_00019,toys_games,8101.94,7049.09,47,87.0
PROD_00020,toys_games,9242.630000000001,7927.19,55,85.77
PROD_00021,clothing_accessories,11703.49,10168.09,55,86.88
PROD_00022,garden_tools,14533.26,12748.76,44,87.72
PROD_00023,sports_leisure,21424.28,18729.86,50,87.42
PROD_00024,books,4472.55,3781.81,54,84.56
PROD_00025,electronics,56821.08,50425.19,42,88.74
PROD_00026,clothing_accessories,10328.33,9052.54,49,87.65
PROD_00027,beauty_perfumery,5020.59,4348.52,32,86.61
PROD_00028,clothing_accessories,8067.89,7066.95,42,87.59
PROD_00029,sports_leisure,15054.51,13179.76,38,87.55
PROD_00030,home_decor,12261.68,10641.72,40,86.79
PROD_00031,furniture,100267.14,87209.71,62,86.98
PROD_00032,sports_leisure,20509.27,17992.59,51,87.73
PROD_00033,electronics,41126.74,35617.44,30,86.6
PROD_00034,furniture,72368.55,63389.15,41,87.59
PROD_00035,sports_leisure,14899.86,13113.5,32,88.01
PROD_00036,home_decor,14146.26,12517.49,48,88.49
PROD_00037,electronics,57015.04,50527.15,38,88.62
PROD_00038,clothing_accessories,8114.04,7099.29,39,87.49
PROD_00039,clothing_accessories,11728.289999999999,10281.41,55,87.66
PROD_00040,baby_products,7696.599999999999,6658.05,43,86.51
PROD_00041,sports_leisure,15575.27,13560.97,37,87.07
PROD_00042,electronics,56919.69,49485.479999999996,48,86.94
PROD_00043,electronics,66538.99,57885.049999999996,53,86.99
PROD_00044,electronics,51671.72,44696.31,41,86.5
PROD_00045,beauty_perfumery,8132.73,6994.72,54,86.01
PROD_00046,clothing_accessories,10123.92,8980.68,43,88.71
PROD_00047,sports_leisure,16609.67,14541.04,40,87.55
PROD_00048,home_decor,12955.69,11287.34,39,87.12
PROD_00049,kitchen_utilities,12330.68,10752.9,48,87.2
PROD_00050,home_decor,9822.65,8922.17,32,90.83
PROD_00051,sports_leisure,17884.48,15509.82,41,86.72
PROD_00052,toys_games,9325.8,8122.32,50,87.1
PROD_00053,sports_leisure,18274.13,15858.01,43,86.78
PROD_00054,kitchen_utilities,14402.82,12528.08,53,86.98
PROD_00055,books,3689.29,3201.6,42,86.78
PROD_00056,home_decor,16555.63,14444.7,50,87.25
PROD_00057,sports_leisure,23244.44,20109.36,56,86.51
PROD_00058,stationery,3005.27,2540.71,47,84.54
PROD_00059,books,2823.2599999999998,2430.94,34,86.1
PROD_00060,garden_tools,16798.08,14812.05,54,88.18
PROD_00061,electronics,67995.01,58949.59,53,86.7
PROD_00062,sports_leisure,14748.63,12885.89,35,87.37
PROD_00063,garden_tools,15468.42,13356.45,46,86.35
PROD_00064,home_decor,15599.68,13634.15,47,87.4
PROD_00065,stationery,2765.4,2258.59,57,81.67
PROD_00066,electronics,45514.05,39682.33,35,87.19
PROD_00067,garden_tools,13346.01,11638.88,41,87.21
PROD_00068,sports_leisure,21113.82,18352.739999999998,55,86.92
PROD_00069,electronics,69393.99,59845.51,51,86.24
PROD_00070,automotive,21038.63,18628.54,38,88.54
PROD_00071,clothing_accessories,8772.39,7601.47,46,86.65
PROD_00072,electronics,54139.44,47842.4,41,88.37
PROD_00073,electronics,44164.11,38277.13,37,86.67
PROD_00074,furniture,75681.38,66026.78,41,87.24
PROD_00075,stationery,1979.01,1661.97,36,83.98
PROD_00076,electronics,66036.81999999999,58096.57,50,87.98
PROD_00077,sports_leisure,19230.43,16749.07,43,87.1
PROD_00078,clothing_accessories,8560.41,7566.73,37,88.39
PROD_00079,toys_games,7022.34,6117.92,37,87.12
PROD_00080,electronics,71827.89,62747.979999999996,46,87.36
PROD_00081,clothing_accessories,8066.29,7083.2300000000005,35,87.81
PROD_00082,clothing_accessories,10192.82,8869.92,49,87.02
PROD_00083,beauty_perfumery,6962.64,6003.77,40,86.23
PROD_00084,automotive,17319.57,15173.69,33,87.61
PROD_00085,beauty_perfumery,6248.42,5396.7,44,86.37
PROD_00086,electronics,68867.12,60387.98,53,87.69
PROD_00087,beauty_perfumery,4770.07,4180.68,39,87.64
PROD_00088,kitchen_utilities,10843.67,9561.57,42,88.18
PROD_00089,electronics,47962.86,42401.85,35,88.41
PROD_00090,electronics,49406.62,42626.34,41,86.28
PROD_00091,clothing_accessories,9003.49,7827.17,45,86.93
PROD_00092,toys_games,8594.17,7603.42,48,88.47
PROD_00093,furniture,65610.34,57877.05,44,88.21
PROD_00094,beauty_perfumery,6406.26,5505.81,42,85.94
PROD_00095,clothing_accessories,9020.039999999999,7872.25,40,87.28
PROD_00096,home_decor,13919.44,12297.43,44,88.35
PROD_00097,stationery,2280.18,1917.3700000000001,36,84.09
PROD_00098,clothing_accessories,9021.789999999999,7954.42,43,88.17
PROD_00099,garden_tools,14239.51,12320.43,52,86.52
PROD_00100,beauty_perfumery,8176.2,7159.78,51,87.57
PROD_00101,electronics,63548.06,55779.33,48,87.78
PROD_00102,sports_leisure,12891.44,11514.2,36,89.32
PROD_00103,baby_products,6546.52,5788.01,41,88.41
PROD_00104,home_decor,14924.06,13091.19,49,87.72
PROD_00105,automotive,29710.87,25645.33,46,86.32
PROD_00106,clothing_accessories,8908.16,7690.1,38,86.33
PROD_00107,beauty_perfumery,7812.6900000000005,6874.87,49,88.0
PROD_00108,health_wellness,10713.44,9283.51,42,86.65
PROD_00109,garden_tools,17033.57,15031.44,50,88.25
PROD_00110,sports_leisure,19642.420000000002,17252.41,46,87.83
PROD_00111,furniture,73201.35,64263.38,49,87.79
PROD_00112,electronics,77260.0,67108.01,58,86.86
PROD_00113,clothing_accessories,9457.08,8313.17,44,87.9
PROD_00114,clothing_accessories,10213.66,8915.07,47,87.29
PROD_00115,electronics,64543.72,57310.12,45,88.79
PROD_00116,clothing_accessories,5355.67,4716.57,28,88.07
PROD_00117,home_decor,13491.5,11855.13,42,87.87
PROD_00118,stationery,2696.09,2289.48,43,84.92
PROD_00119,books,3855.59,3322.64,44,86.18
PROD_00120,sports_leisure,21517.02,18575.91,46,86.33
PROD_00121,pet_supplies,5412.24,4721.5,41,87.24
PROD_00122,electronics,49212.05,43145.96,37,87.67
PROD_00123,sports_leisure,24835.98,21974.08,56,88.48
PROD_00124,furniture,42416.91,37732.6,32,88.96
PROD_00125,electronics,61744.729999999996,54135.84,48,87.68
PROD_00126,books,3707.79,3177.7599999999998,48,85.7
PROD_00127,electronics,55354.39,48925.45,42,88.39
PROD_00128,electronics,70816.57,62681.58,47,88.51
PROD_00129,electronics,60803.82,53685.54,45,88.29
PROD_00130,garden_tools,9522.93,8364.62,31,87.84
PROD_00131,books,3596.87,3063.5099999999998,46,85.17
