customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_total,rfm_segment
CUST_000000,17,8,6036.929999999999,4,2,3,9,Potential Loyalists
CUST_000001,90,6,5874.47,2,1,3,6,Lost
CUST_000002,62,7,9964.48,2,2,4,8,Cannot Lose Them
CUST_000003,30,12,13026.74,4,5,5,14,Champions
CUST_000004,58,8,2890.27,2,2,1,5,Lost
CUST_000005,21,9,8420.68,4,3,4,11,Loyal Customers
CUST_000006,10,10,10648.26,5,4,5,14,Champions
CUST_000007,160,4,4395.46,1,1,2,4,Lost
CUST_000008,52,8,3144.63,3,2,1,6,Promising
CUST_000009,249,5,3281.26,1,1,1,3,Lost
CUST_000010,90,12,8091.04,2,5,4,11,At Risk
CUST_000011,85,11,7850.09,2,4,4,10,At Risk
CUST_000012,9,15,8708.51,5,5,4,14,Champions
CUST_000013,73,6,8315.67,2,1,4,7,Cannot Lose Them
CUST_000014,137,7,5152.74,1,2,2,5,Lost
CUST_000015,74,9,10061.9,2,3,4,9,At Risk
CUST_000016,24,7,8224.82,4,2,4,10,Loyal Customers
CUST_000017,49,11,6870.88,3,4,3,10,Loyal Customers
CUST_000018,93,5,3713.45,2,1,1,4,Lost
CUST_000019,32,11,7407.46,3,4,3,10,Loyal Customers
CUST_000020,134,4,7593.26,1,1,3,5,Lost
CUST_000021,195,5,5704.889999999999,1,1,2,4,Lost
CUST_000022,60,8,4951.9,2,2,2,6,Lost
CUST_000023,40,9,4713.54,3,3,2,8,Need Attention
CUST_000024,43,6,5702.7699999999995,3,1,2,6,Promising
CUST_000025,92,8,9390.47,2,2,4,8,Cannot Lose Them
CUST_000026,14,5,5135.219999999999,4,1,2,7,Promising
CUST_000027,175,4,3661.38,1,1,1,3,Lost
CUST_000028,149,3,2305.77,1,1,1,3,Lost
CUST_000029,302,5,3720.94,1,1,1,3,Lost
CUST_000030,126,8,8499.09,1,2,4,7,Cannot Lose Them
CUST_000031,176,6,801.26,1,1,1,3,Lost
